run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
4,7,"('pen', '[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]')","('[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]', 135)",135,7,"[('leaf', 0), ('acorn', 0), ('[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]', 135)]",135,decorations
4,8,"('paint', 'leaf')","('[paint]-[leaf]', 15)",135,7,"[('acorn', 0), ('[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]', 135), ('[paint]-[leaf]', 15)]",135,decorations
4,9,"('scissors', '[paint]-[leaf]')","('[scissors]-[[paint]-[leaf]]', 35)",135,7,"[('acorn', 0), ('[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]', 135), ('[scissors]-[[paint]-[leaf]]', 35)]",135,decorations
4,10,"('frame', '[scissors]-[[paint]-[leaf]]')","('[frame]-[[scissors]-[[paint]-[leaf]]]', 60)",135,7,"[('acorn', 0), ('[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]', 135), ('[frame]-[[scissors]-[[paint]-[leaf]]]', 60)]",135,decorations
4,11,"('pen', '[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]')","('[pen]-[[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]]', 135)",135,7,"[('acorn', 0), ('[frame]-[[scissors]-[[paint]-[leaf]]]', 60), ('[pen]-[[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]]', 135)]",135,decorations
4,12,,,135,7,"[('acorn', 0), ('[frame]-[[scissors]-[[paint]-[leaf]]]', 60), ('[pen]-[[pen]-[[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]]]', 135)]",135,decorations
5,0,"('scissors', 'newspaper')","('[scissors]-[newspaper]', 20)",20,9,"[('flower', 0), ('leaf', 0), ('rock', 0), ('shell', 0), ('[scissors]-[newspaper]', 20)]",125,decorations
5,1,"('flower', '[scissors]-[newspaper]')","('[flower]-[[scissors]-[newspaper]]', 50)",50,8,"[('leaf', 0), ('rock', 0), ('shell', 0), ('[flower]-[[scissors]-[newspaper]]', 50)]",125,decorations
5,2,"('scissors', '[flower]-[[scissors]-[newspaper]]')","('[scissors]-[[flower]-[[scissors]-[newspaper]]]', 70)",70,8,"[('leaf', 0), ('rock', 0), ('shell', 0), ('[scissors]-[[flower]-[[scissors]-[newspaper]]]', 70)]",125,decorations
5,3,"('paint', '[scissors]-[[flower]-[[scissors]-[newspaper]]]')","('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100)",100,8,"[('leaf', 0), ('rock', 0), ('shell', 0), ('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100)]",125,decorations
5,4,"('paint', 'rock')","('[paint]-[rock]', 15)",100,8,"[('leaf', 0), ('shell', 0), ('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[rock]', 15)]",125,decorations
5,5,"('paint', 'shell')","('[paint]-[shell]', 15)",100,8,"[('leaf', 0), ('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[rock]', 15), ('[paint]-[shell]', 15)]",125,decorations
5,6,"('scissors', 'leaf')","('[scissors]-[leaf]', 20)",100,8,"[('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[rock]', 15), ('[paint]-[shell]', 15), ('[scissors]-[leaf]', 20)]",125,decorations
5,7,"('frame', '[paint]-[rock]')","('[frame]-[[paint]-[rock]]', 40)",100,8,"[('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[shell]', 15), ('[scissors]-[leaf]', 20), ('[frame]-[[paint]-[rock]]', 40)]",125,decorations
5,8,"('paint', '[scissors]-[leaf]')","('[paint]-[[scissors]-[leaf]]', 35)",100,8,"[('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[shell]', 15), ('[frame]-[[paint]-[rock]]', 40), ('[paint]-[[scissors]-[leaf]]', 35)]",125,decorations
5,9,"('frame', '[paint]-[[scissors]-[leaf]]')","('[frame]-[[paint]-[[scissors]-[leaf]]]', 60)",100,8,"[('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', 100), ('[paint]-[shell]', 15), ('[frame]-[[paint]-[rock]]', 40), ('[frame]-[[paint]-[[scissors]-[leaf]]]', 60)]",125,decorations
5,10,"('[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]', '[frame]-[[paint]-[[scissors]-[leaf]]]')","('[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]', 125)",125,7,"[('[paint]-[shell]', 15), ('[frame]-[[paint]-[rock]]', 40), ('[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]', 125)]",125,decorations
5,11,"('paint', '[paint]-[shell]')","('[paint]-[[paint]-[shell]]', -25)",125,7,"[('[frame]-[[paint]-[rock]]', 40), ('[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]', 125), ('[paint]-[[paint]-[shell]]', -25)]",125,decorations
5,12,"('scissors', '[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]')","('[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]', 125)",125,7,"[('[frame]-[[paint]-[rock]]', 40), ('[paint]-[[paint]-[shell]]', -25), ('[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]', 125)]",125,decorations
5,13,"('frame', '[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]')","('[frame]-[[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]]', 125)",125,7,"[('[frame]-[[paint]-[rock]]', 40), ('[paint]-[[paint]-[shell]]', -25), ('[frame]-[[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]]', 125)]",125,decorations
5,14,"('paint', '[paint]-[[paint]-[shell]]')","('[paint]-[[paint]-[shell]]', -25)",125,7,"[('[frame]-[[paint]-[rock]]', 40), ('[frame]-[[scissors]-[[[paint]-[[scissors]-[[flower]-[[scissors]-[newspaper]]]]]-[[frame]-[[paint]-[[scissors]-[leaf]]]]]]', 125), ('[paint]-[[paint]-[shell]]', -25)]",125,decorations
6,0,"('paint', 'beads')","('[paint]-[beads]', 15)",15,9,"[('bark', 0), ('glitter', 0), ('buttons', 0), ('feather', 0), ('[paint]-[beads]', 15)]",125,decorations
6,1,"('frame', '[paint]-[beads]')","('[frame]-[[paint]-[beads]]', 40)",40,9,"[('bark', 0), ('glitter', 0), ('buttons', 0), ('feather', 0), ('[frame]-[[paint]-[beads]]', 40)]",125,decorations
6,2,"('feather', '[frame]-[[paint]-[beads]]')","('[feather]-[[frame]-[[paint]-[beads]]]', 70)",70,8,"[('bark', 0), ('glitter', 0), ('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70)]",125,decorations
6,3,"('pen', 'glitter')","('[pen]-[glitter]', 20)",70,8,"[('bark', 0), ('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70), ('[pen]-[glitter]', 20)]",125,decorations
6,4,"('scissors', '[pen]-[glitter]')","('[scissors]-[[pen]-[glitter]]', 40)",70,8,"[('bark', 0), ('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70), ('[scissors]-[[pen]-[glitter]]', 40)]",125,decorations
6,5,"('frame', '[scissors]-[[pen]-[glitter]]')","('[frame]-[[scissors]-[[pen]-[glitter]]]', 65)",70,8,"[('bark', 0), ('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70), ('[frame]-[[scissors]-[[pen]-[glitter]]]', 65)]",125,decorations
6,6,"('bark', '[frame]-[[scissors]-[[pen]-[glitter]]]')","('[bark]-[[frame]-[[scissors]-[[pen]-[glitter]]]]', 95)",95,7,"[('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70), ('[bark]-[[frame]-[[scissors]-[[pen]-[glitter]]]]', 95)]",125,decorations
6,7,"('paint', '[bark]-[[frame]-[[scissors]-[[pen]-[glitter]]]]')","('[paint]-[[bark]-[[frame]-[[scissors]-[[pen]-[glitter]]]]]', 125)",125,7,"[('buttons', 0), ('[feather]-[[frame]-[[paint]-[beads]]]', 70), ('[paint]-[[bark]-[[frame]-[[scissors]-[[pen]-[glitter]]]]]', 125)]",125,decorations
